Loading data for Scheme A (cifar10)...
Starting training for 30 epochs.
Epoch 24: train_loss = 0.5664, val_acc = 0.7856, time = 8.34s
Epoch 25: train_loss = 0.5598, val_acc = 0.7914, time = 8.42s
Epoch 26: train_loss = 0.5577, val_acc = 0.7894, time = 8.57s
Epoch 27: train_loss = 0.5506, val_acc = 0.7854, time = 8.43s
Epoch 28: train_loss = 0.5486, val_acc = 0.7889, time = 8.49s
Epoch 29: train_loss = 0.5483, val_acc = 0.7893, time = 8.43s
Epoch 30: train_loss = 0.5458, val_acc = 0.7865, time = 8.48s
Saved A seed 5 model to models_cifar10/scheme_A/seed_5. Final val_acc=0.7880, best=0.7914
Loading data for Scheme B (cifar10)...
Loading matching Scheme A initialization from models_cifar10/scheme_A/seed_1/weights.safetensors...
Starting training for 30 epochs.
Epoch 01: train_loss = 0.8882, val_acc = 0.7573, time = 8.25s
Epoch 02: train_loss = 0.6750, val_acc = 0.7722, time = 8.46s
Epoch 03: train_loss = 0.6177, val_acc = 0.7527, time = 8.34s
Epoch 04: train_loss = 0.5730, val_acc = 0.7643, time = 8.36s
Epoch 05: train_loss = 0.5389, val_acc = 0.8006, time = 8.30s
Epoch 06: train_loss = 0.5103, val_acc = 0.7984, time = 8.34s
Epoch 07: train_loss = 0.4904, val_acc = 0.7826, time = 8.57s
Epoch 08: train_loss = 0.4746, val_acc = 0.8059, time = 8.37s
Epoch 09: train_loss = 0.4546, val_acc = 0.7925, time = 8.38s
Epoch 10: train_loss = 0.4411, val_acc = 0.8144, time = 8.48s
Epoch 11: train_loss = 0.4225, val_acc = 0.8010, time = 8.43s
Epoch 12: train_loss = 0.4082, val_acc = 0.7951, time = 8.35s
Epoch 13: train_loss = 0.3947, val_acc = 0.8182, time = 8.26s
Epoch 14: train_loss = 0.3817, val_acc = 0.8174, time = 8.34s
Epoch 15: train_loss = 0.3673, val_acc = 0.8114, time = 8.48s
Epoch 16: train_loss = 0.3582, val_acc = 0.8150, time = 8.24s
Epoch 17: train_loss = 0.3471, val_acc = 0.8171, time = 8.41s
Epoch 18: train_loss = 0.3299, val_acc = 0.8238, time = 8.18s
Epoch 19: train_loss = 0.3255, val_acc = 0.8173, time = 8.36s
Epoch 20: train_loss = 0.3112, val_acc = 0.8244, time = 8.54s
Epoch 21: train_loss = 0.3074, val_acc = 0.8236, time = 8.31s
Epoch 22: train_loss = 0.2998, val_acc = 0.8238, time = 8.50s
Epoch 23: train_loss = 0.2955, val_acc = 0.8258, time = 8.41s
Epoch 24: train_loss = 0.2882, val_acc = 0.8232, time = 8.50s
Epoch 25: train_loss = 0.2869, val_acc = 0.8268, time = 8.56s
Epoch 26: train_loss = 0.2805, val_acc = 0.8220, time = 8.40s
Epoch 27: train_loss = 0.2773, val_acc = 0.8253, time = 9.76s
Epoch 28: train_loss = 0.2727, val_acc = 0.8258, time = 8.96s
Epoch 29: train_loss = 0.2758, val_acc = 0.8264, time = 8.36s
Epoch 30: train_loss = 0.2744, val_acc = 0.8292, time = 8.41s
Saved B seed 1 model to models_cifar10/scheme_B/seed_1. Final val_acc=0.8277, best=0.8292
Loading data for Scheme B (cifar10)...
Loading matching Scheme A initialization from models_cifar10/scheme_A/seed_2/weights.safetensors...
Starting training for 30 epochs.
